"Chr","Start","End","Strand","Motif_Left","Motif_Right","Sum_Count","Expressing_Samples"
"chr1",116393724,116396613,"+","GT","AG",1,0
"chr1",116393724,116397887,"+","GT","AG",1,0
"chr1",116393737,116396611,"-","CT","AC",1,0
"chr1",116395196,116397966,"-","CT","AC",1,0
"chr1",116395286,116396597,"+","GT","AG",68524,1
"chr1",116395286,116397942,"+","GT","AG",1,0
"chr1",116395301,116396611,"-","CT","AC",1,0
"chr1",116395520,116396597,"+","GT","AG",7,1
"chr1",116396050,116443031,"+","GC","AG",2,0
"chr1",116396335,116405606,"-","CT","AC",1,0
"chr1",116396724,116397887,"+","GT","AG",6,1
"chr1",116396735,116397887,"+","GT","AG",92432,1
"chr1",116396735,116398620,"+","GT","AG",85,1
"chr1",116396735,116398929,"+","GT","AG",1,0
"chr1",116396764,116405606,"-","CT","AC",1,0
"chr1",116397936,116397992,"-","CT","AC",1,0
"chr1",116397981,116398024,"+","GT","AG",1,0
"chr1",116398039,116398620,"+","GT","AG",86684,1
"chr1",116398039,116398666,"+","GT","AG",4,1
"chr1",116398039,116399419,"+","GT","AG",2,0
"chr1",116398039,116399449,"+","GT","AG",2,0
"chr1",116398649,116398714,"+","GT","AG",1,0
"chr1",116398790,116398929,"+","GT","AG",76340,1
"chr1",116398790,116399419,"+","GT","AG",303,1
"chr1",116398790,116399449,"+","GT","AG",2,0
"chr1",116398806,116398929,"+","GT","AG",4,1
"chr1",116399069,116399409,"-","CT","AC",2,0
"chr1",116399085,116399387,"+","GT","AG",1,0
"chr1",116399085,116399419,"+","GT","AG",81409,1
"chr1",116399085,116399446,"+","GT","AG",1,0
"chr1",116399085,116399449,"+","GT","AG",2,0
"chr1",116399085,116400860,"+","GT","AG",1,0
"chr1",116399089,116399446,"+","GT","AG",1,0
"chr1",116399315,116400895,"-","CT","AC",94,1
"chr1",116399450,116401141,"+","GC","AG",1,0
"chr1",116399528,116400871,"+","GC","AG",1,0
"chr1",116399544,116400746,"+","GT","AG",8,1
"chr1",116399544,116400860,"+","GT","AG",66810,1
"chr1",116399544,116400871,"+","GT","AG",2,0
"chr1",116399544,116401129,"+","GT","AG",12,1
"chr1",116399544,116401553,"+","GT","AG",5,1
"chr1",116399668,116400895,"-","CT","AC",1,0
"chr1",116399711,116400860,"+","GT","AG",66,1
"chr1",116399885,116400307,"-","CT","GC",1,0
"chr1",116399974,116400860,"+","GT","AG",1,0
"chr1",116400422,116400442,"+","GT","AG",1,0
"chr1",116400935,116400955,"-","CT","AC",1,0
"chr1",116401007,116401129,"+","GT","AG",73216,1
"chr1",116401072,116401161,"-","CT","AC",2,0
"chr1",116401090,116401553,"+","GT","AG",37,1
"chr1",116401132,116402735,"-","CT","AC",12,1
"chr1",116401132,116405606,"-","CT","AC",29,1
"chr1",116401132,116411260,"-","CT","AC",3,1
"chr1",116401132,116417659,"-","CT","AC",1,0
"chr1",116401132,116418458,"-","CT","AC",79,1
"chr1",116401132,116428381,"-","CT","AC",2,0
"chr1",116401219,116402735,"-","CT","AC",1,0
"chr1",116401219,116405606,"-","CT","AC",1,0
"chr1",116401243,116411260,"-","CT","AC",1,0
"chr1",116401243,116418458,"-","CT","AC",1,0
"chr1",116401249,116418529,"+","GC","AG",1,0
"chr1",116401261,116401527,"+","GT","AG",5,1
"chr1",116401261,116401553,"+","GT","AG",78737,1
"chr1",116401261,116403883,"+","GT","AG",6,1
"chr1",116401261,116404415,"+","GT","AG",3,1
"chr1",116401265,116401560,"+","GT","AG",3,1
"chr1",116401287,116401542,"-","CT","AC",1,0
"chr1",116401598,116404413,"-","CT","AC",2,0
"chr1",116401614,116404497,"-","CT","AC",1,0
"chr1",116401644,116403198,"+","GT","AG",1,0
"chr1",116401656,116403883,"+","GT","AG",80755,1
"chr1",116401656,116403942,"+","GT","AG",1,0
"chr1",116401656,116404415,"+","GT","AG",118,1
"chr1",116401656,116410134,"+","GT","AG",24,1
"chr1",116401656,116421492,"+","GT","AG",1,0
"chr1",116403522,116405599,"-","CT","AC",1,0
"chr1",116403530,116405606,"-","CT","AC",4,1
"chr1",116403530,116418458,"-","CT","AC",3,1
"chr1",116403711,116405606,"-","CT","AC",2,0
"chr1",116403942,116404602,"+","GT","AG",1,0
"chr1",116403951,116404497,"-","CT","AC",1,0
"chr1",116403962,116404474,"+","GC","AG",2,0
"chr1",116403970,116404409,"-","CT","AC",5,1
"chr1",116403976,116404384,"+","GT","AG",16,1
"chr1",116403976,116404415,"+","GT","AG",69739,1
"chr1",116403976,116404429,"+","GT","AG",1,0
"chr1",116403976,116404444,"+","GT","AG",1,0
"chr1",116403976,116404521,"+","GT","AG",13,1
"chr1",116403976,116404700,"+","GT","AG",1,0
"chr1",116403976,116404807,"+","GT","AG",2,0
"chr1",116403976,116410134,"+","GT","AG",12,1
"chr1",116404055,116404384,"+","GT","AG",1,0
"chr1",116404254,116416148,"-","CT","AC",1,0
"chr1",116404547,116410134,"+","GT","AG",3,1
"chr1",116404952,116410134,"+","GT","AG",1,0
"chr1",116405575,116418458,"-","CT","AC",1,0
"chr1",116406135,116410134,"+","GT","AG",3,1
"chr1",116406149,116406675,"-","CT","AC",1,0
"chr1",116406149,116406927,"-","CT","AC",24,1
"chr1",116406149,116407097,"-","CT","AC",1,0
"chr1",116406149,116408060,"-","CT","AC",1,0
"chr1",116406149,116411260,"-","CT","AC",39,1
"chr1",116406149,116411619,"-","CT","AC",2,0
"chr1",116406149,116416148,"-","CT","AC",4,1
"chr1",116406149,116417659,"-","CT","AC",1,0
"chr1",116406149,116418458,"-","CT","AC",503,1
"chr1",116406149,116455064,"-","CT","AC",2,0
"chr1",116406265,116406927,"-","CT","AC",7,1
"chr1",116406265,116411260,"-","CT","AC",1,0
"chr1",116406265,116418458,"-","CT","AC",9,1
"chr1",116406399,116407671,"+","GT","AG",2,0
"chr1",116406399,116408789,"+","GT","AG",2,0
"chr1",116406399,116410134,"+","GT","AG",68,1
"chr1",116406399,116415002,"+","GT","AG",1,0
"chr1",116406991,116418458,"-","CT","AC",1,0
"chr1",116407196,116418458,"-","CT","AC",14,1
"chr1",116407251,116418458,"-","CT","AC",3,1
"chr1",116407804,116410134,"+","GT","AG",5,1
"chr1",116408136,116409568,"-","CT","GC",1,0
"chr1",116408136,116413850,"-","CT","AC",1,0
"chr1",116410158,116411260,"-","CT","AC",1,0
"chr1",116410158,116418458,"-","CT","AC",5,1
"chr1",116410198,116415002,"+","GT","AG",3,1
"chr1",116410661,116411260,"-","CT","AC",3,1
"chr1",116411316,116411619,"-","CT","AC",5,1
"chr1",116411316,116413761,"-","CT","AC",1,0
"chr1",116411316,116416148,"-","CT","AC",1,0
"chr1",116411316,116418458,"-","CT","AC",51,1
"chr1",116411736,116413761,"-","CT","AC",1,0
"chr1",116411736,116418458,"-","CT","AC",1,0
"chr1",116413914,116416148,"-","CT","AC",7,1
"chr1",116413914,116417659,"-","CT","AC",4,1
"chr1",116413914,116418458,"-","CT","AC",479,1
"chr1",116416387,116418458,"-","CT","AC",6,1
"chr1",116416885,116418458,"-","CT","AC",1,0
"chr1",116417738,116418458,"-","CT","AC",3,1
"chr1",116417771,116418458,"-","CT","AC",1,0
"chr1",116417948,116418458,"-","CT","AC",1,0
